bank,date
SNB,2012-03-15
SNB,2012-06-14
SNB,2012-09-13
SNB,2012-12-13
SNB,2013-03-14
SNB,2013-06-20
SNB,2013-09-19
SNB,2013-12-12
SNB,2014-03-20
SNB,2014-06-19
SNB,2014-09-18
SNB,2014-12-11
SNB,2015-01-15
SNB,2015-03-19
SNB,2015-06-18
SNB,2015-09-17
SNB,2015-12-10
SNB,2016-03-17
SNB,2016-06-16
SNB,2016-09-15
SNB,2016-12-15
SNB,2017-03-16
SNB,2017-06-15
SNB,2017-09-14
SNB,2017-12-14
SNB,2018-03-15
SNB,2018-06-21
SNB,2018-09-20
SNB,2018-12-13
SNB,2019-03-21
SNB,2019-06-13
SNB,2019-09-19
SNB,2019-12-19
SNB,2020-03-19
SNB,2020-06-18
SNB,2020-09-24
SNB,2020-12-17
SNB,2021-03-25
SNB,2021-06-17
SNB,2021-09-23
SNB,2021-12-16
SNB,2022-03-24
SNB,2022-06-16
SNB,2022-09-22
SNB,2022-12-15
SNB,2023-03-23
SNB,2023-06-22
SNB,2023-09-21
SNB,2023-12-14
SNB,2024-03-21
RBA,2000-02-02
RBA,2000-04-05
RBA,2000-05-03
RBA,2000-08-02
RBA,2001-02-07
RBA,2001-03-07
RBA,2001-04-04
RBA,2001-09-05
RBA,2001-10-03
RBA,2001-12-05
RBA,2002-05-08
RBA,2002-06-05
RBA,2003-11-05
RBA,2003-12-03
RBA,2005-03-02
RBA,2006-05-03
RBA,2006-08-02
RBA,2006-11-08
RBA,2007-08-08
RBA,2007-11-07
RBA,2007-12-05
RBA,2008-02-05
RBA,2008-03-04
RBA,2008-04-01
RBA,2008-05-06
RBA,2008-06-03
RBA,2008-07-01
RBA,2008-08-05
RBA,2008-09-02
RBA,2008-10-07
RBA,2008-11-04
RBA,2008-12-02
RBA,2009-02-03
RBA,2009-03-03
RBA,2009-04-07
RBA,2009-05-05
RBA,2009-06-02
RBA,2009-07-07
RBA,2009-08-04
RBA,2009-09-01
RBA,2009-10-06
RBA,2009-11-03
RBA,2009-12-01
RBA,2010-02-02
RBA,2010-03-02
RBA,2010-04-06
