,BBfull,BBOU,S&P 500
2018-12-04,90004.12656259537,104415.8049402237,100157.65205662214
2018-12-06,91908.78640031815,105124.26421451569,100005.18925944649
2018-12-07,90373.05384683609,103967.498503685,97673.05636876091
2018-12-10,88505.20796632767,102139.04300022125,97845.1713352191
2018-12-11,89746.56830644608,102650.60224628448,97810.30458326623
2018-12-12,91152.73709154129,103477.66605854034,98340.38788854014
2018-12-13,89967.06410837173,103672.0613489151,98320.72666295842
2018-12-14,88312.72769784927,102730.69562625885,96444.10750986366
2018-12-17,88473.40251207352,102206.17446041107,94440.62771745578
2018-12-18,88846.0752453804,102554.45947551727,94448.78744304267
2018-12-19,86900.21685266495,100666.00319766998,92994.68087322285
2018-12-20,85180.63632059097,97726.89075756073,91527.95887860557
2018-12-21,82165.21807718277,93244.84207057953,89643.56036449068
2018-12-24,77688.53578138351,87567.26457881927,87213.12134589648
2018-12-26,83403.47052049637,94034.4625120163,91538.34645379774
2018-12-27,84678.4095158577,95728.51230335236,92322.16009399714
2018-12-28,84651.02188444138,95618.87450885773,92207.53451491472
2018-12-31,86466.69068670273,97073.09145450592,92990.60553857902
2019-01-02,85607.53030824661,96177.16958713531,93108.56383577017
2019-01-03,83546.54408216476,94719.29869556427,90803.5002234189
2019-01-04,86654.48222017288,98413.9413728714,93921.30329564163
2019-01-07,85700.71036672592,98337.19808673859,94579.73247329886
2019-01-08,84713.83197546005,98320.38059329987,95496.70993706053
2019-01-09,83611.61659574509,97709.64209079742,95888.05979475891
2019-01-10,82976.4092040062,96769.6001405716,96321.32220519437
2019-01-11,83377.27978658676,97396.39765262604,96307.2306036259
2019-01-14,84100.99651479721,97935.68769550323,95800.89291487676
2019-01-15,85123.20585775375,98332.67911243439,96828.04025851026
2019-01-16,85211.32388448715,98670.38872241974,97043.19075880738
2019-01-17,83703.58947896957,97745.1721162796,97779.88447422477
2019-01-18,81344.16755628586,96386.01892566681,99068.92187837065
2019-01-22,82668.57955884933,97698.86535739899,97666.37281994501
2019-01-23,83007.89521360397,97932.99985980988,97881.52332024215
2019-01-24,81418.75979185104,97620.45000934601,98016.18143317384
2019-01-25,81506.42236280441,97287.87250232697,98848.21081035947
2019-01-28,81579.45985746384,97091.42538166046,98072.56595204618
2019-01-29,82355.53436231613,96917.30824756622,97929.74811352759
2019-01-30,81211.73751401901,96332.64101886749,99452.48331874967
2019-01-31,80643.27037763596,96916.60600185394,100307.51569592497
2019-02-01,79585.4019370079,96042.81665325165,100397.65304194752
2019-02-04,79660.28428983688,94867.61157226562,101077.97129479177
2019-02-05,78795.01837015152,94184.65473461151,101553.88887449943
2019-02-06,78372.74502325058,93199.40288543701,101327.98854704176
2019-02-07,80496.79978609085,94880.64019870758,100379.84835770352
2019-02-08,79764.94761991501,93583.32876205444,100447.7253202715
2019-02-11,80288.5092329979,93861.06288719177,100518.95311354661
2019-02-12,80601.97943925858,93492.56938648224,101814.66501020917
2019-02-13,80687.6558470726,94000.1129398346,102122.55201440168
2019-02-14,80662.42630243301,93592.52913951874,101851.75961176731
2019-02-15,80055.64947366714,92889.34215831757,102959.77970733301
2019-02-19,78949.60309457779,91899.49693775177,103114.08998954721
2019-02-20,78689.89210557938,91105.45113658905,103297.3351477327
2019-02-21,79200.79194307327,91232.84151744843,102933.06362466783
2019-02-22,78392.71688127518,90432.29625606537,103592.97803539527
2019-02-25,79395.90626192093,91072.587515831,103720.59034754273
2019-02-26,79898.63034009933,90851.38887691498,103638.60367080786
2019-02-27,79345.54420614243,90773.76138210297,103582.21915193553
2019-02-28,79874.62032747269,91320.08731746674,103289.54673041335
2019-03-01,80507.55337953568,91136.43635082245,104001.76126907008
2019-03-04,80512.41759157181,91553.92351055145,103598.17635114097
2019-03-05,80891.23511362076,91729.6699590683,103480.95161418572
2019-03-06,80557.96033716202,92202.69868373871,102805.83167708715
2019-03-07,80497.58133172989,91700.61667919159,101970.46052549357
2019-03-08,79875.41873407364,91147.18459033966,101753.09123189034
2019-03-11,80529.0220284462,91712.2492609024,103245.40632807095
