,walk_forward_equity
2019-10-08,138976.32611179352
2019-10-09,141953.30531024933
2019-10-10,142926.2527589798
2019-10-11,145897.1813211441
2019-10-14,145074.09201526642
2019-10-15,146718.9200143814
2019-10-16,146248.38812732697
2019-10-17,145463.36306667328
2019-10-18,146258.75530338287
2019-10-21,146211.95696163177
2019-10-22,143563.00056552887
2019-10-23,144347.14114665985
2019-10-24,145343.58572101593
2019-10-25,145472.88196468353
2019-10-28,145380.08249378204
2019-10-29,148913.0763311386
2019-10-30,149245.57974338531
2019-10-31,147099.53669071198
2019-11-01,145241.30951404572
2019-11-04,144626.15389728546
2019-11-05,143513.61043262482
2019-11-06,145625.6357088089
2019-11-07,143019.1844148636
2019-11-08,143349.3706483841
2019-11-11,144445.93543720245
2019-11-12,144792.58294773102
2019-11-13,146935.7933511734
2019-11-14,148590.67662143707
2019-11-15,148585.34323215485
2019-11-18,149034.2231836319
2019-11-19,149457.03096866608
2019-11-20,148677.90780735016
2019-11-21,147234.626162529
2019-11-22,147970.81419944763
2019-11-25,148699.6575832367
2019-11-26,150191.32947731018
2019-11-27,150504.51833820343
2019-11-29,149650.98480701447
2019-12-02,147740.39527893066
2019-12-03,145838.9888496399
2019-12-04,149004.5559387207
2019-12-05,149322.55612182617
2019-12-06,152674.70144081116
2019-12-09,152756.9183177948
2019-12-10,152638.8111076355
2019-12-11,154313.8168411255
2019-12-12,159831.79897499084
2019-12-13,155107.40483093262
2019-12-16,157999.87926101685
2019-12-17,159037.8495197296
2019-12-18,159767.5769958496
2019-12-19,159643.902217865
2019-12-20,162942.65476989746
2019-12-23,160469.8399658203
2019-12-24,162145.6651878357
2019-12-26,162493.80935287476
2019-12-27,163000.5347518921
2019-12-30,162026.29488754272
2019-12-31,163648.363155365
2020-01-02,163648.363155365
2020-01-03,163555.8798675537
2020-01-06,162370.84337997437
2020-01-07,160269.31684303284
2020-01-08,162118.77821922302
2020-01-09,163038.81193828583
2020-01-10,158955.6828107834
2020-01-13,163121.9012184143
2020-01-14,164537.5957326889
2020-01-15,164182.4479560852
2020-01-16,168381.1213903427
2020-01-17,169951.98085021973
2020-01-21,167636.74078273773
2020-01-22,169673.42839336395
2020-01-23,173033.15053081512
2020-01-24,169293.78970432281
2020-01-27,161226.805768013
2020-01-28,163910.07288837433
2020-01-29,162731.09722042084
2020-01-30,164255.04401493073
2020-01-31,156781.41703128815
2020-02-03,158879.1845216751
2020-02-04,162320.57756137848
2020-02-05,168553.9579000473
2020-02-06,167592.83518266678
2020-02-07,164687.50015211105
2020-02-10,165957.3332324028
2020-02-11,169482.57851600647
2020-02-12,171411.00960350037
2020-02-13,170210.00008821487
2020-02-14,171477.40160179138
2020-02-18,171598.52744627
2020-02-19,170960.21576690674
2020-02-20,171299.63874959946
2020-02-21,169165.80698347092
2020-02-24,163253.11926031113
2020-02-25,152520.0965809822
2020-02-26,149117.0054898262
2020-02-27,139843.15161180496
2020-02-28,136549.0555214882
2020-03-02,140812.9164299965
2020-03-03,136090.1682457924
2020-03-04,139577.82064294815
2020-03-05,134361.97547388077
2020-03-06,132048.24809503555
2020-03-09,125953.23121118546
2020-03-10,127300.96114587784
