,p5,p25,p50,p75,p95
2023-09-11,116497.91571508517,203655.69918107078,308412.72011586465,451951.62856409955,794189.8940311512
2023-09-12,116734.89741405135,203747.6488057484,309691.6913820382,454920.7908763536,799187.5466209971
2023-09-13,116607.59139005581,204557.28076875006,308017.1956763811,453474.52871468046,791218.58838365
2023-09-14,117212.4302805558,204556.5549203956,308237.25453631574,455680.9267675818,787642.1190794031
2023-09-15,117716.79425780257,204801.5393127163,309239.1362727146,455133.1187953055,790568.3726789821
2023-09-18,117173.92822520257,205342.56759876813,309871.4002582178,453758.4457149917,790857.6849694608
2023-09-19,117747.18654272749,205506.69127068302,311142.6998551666,453610.97175972536,796905.2224617401
2023-09-20,116822.87492789769,205634.13417070938,310286.0505428687,454806.4220696572,795229.9667163908
2023-09-21,115928.9367212468,206324.09618223822,310302.35271793895,455810.44045765995,800281.562399281
2023-09-22,116511.17298163347,206217.06245127355,310894.6942685068,455221.56729251833,797639.998622129
2023-09-25,115934.7491036795,206848.9064279855,311328.19614187937,456916.3646162335,794268.8286671938
2023-09-26,116568.1078514809,207400.11100949981,312267.7777727797,457037.50639866147,797551.6316318816
2023-09-27,117223.56851367808,206948.69827330572,313677.8469201457,456833.6774406841,802441.4707993317
2023-09-28,117223.27596817103,207944.96915200388,314187.69451640826,457219.9889179652,802446.6313156841
2023-09-29,117177.5125404438,207380.49649468175,314406.41363803996,456893.26870241686,803083.776233698
2023-10-02,117211.63169243878,206882.4775193265,314831.18331838126,457525.13133981626,805345.6247533847
2023-10-03,117108.43718610315,207447.82499335497,315290.90409268223,459034.0552083064,805445.0262073644
2023-10-04,117166.47866224103,207265.3035584381,315126.31084237923,459706.43943235074,810149.4964913588
2023-10-05,116971.20606452342,206549.47798276442,314414.1180066187,459948.97143334197,811781.3523141299
2023-10-06,117590.87460311942,207960.40208523523,314512.3006641702,460463.8259897851,811213.8536140854
2023-10-09,116633.7044021288,208196.96746684305,313594.4735818465,461527.3528159,813677.9220187148
2023-10-10,117246.47806672638,207887.39759395155,315306.43908045994,459247.5630379141,820456.8323099511
2023-10-11,115690.90916655058,208761.95338316957,315589.7732244219,461028.90056337585,824597.802988562
2023-10-12,116068.72367814876,208955.31536440557,315821.52332977165,461950.4515807505,821103.7074847742
2023-10-13,117441.0598079313,209846.8196010716,316191.394301609,462323.51323675376,818895.6971581581
2023-10-16,115926.92569170169,210576.14013944674,316333.9768320833,463268.94091148546,823735.1159968929
2023-10-17,115878.35823988564,210166.51278571642,317043.08984780154,464539.1978815155,829756.6499204318
2023-10-18,117744.92024797223,210352.05919699193,316613.99556025595,463027.1387080377,834110.3503114174
2023-10-19,115365.59193462986,210864.6650728723,316902.4912308336,463415.9323088262,839030.6981006577
2023-10-20,116701.72997773293,211318.44145364076,316943.43568721664,464076.4456175986,837991.8246081186
2023-10-23,116604.72264526848,210662.79299686587,317508.6716322189,461922.8993461238,839116.6501491244
2023-10-24,116444.5735505166,211168.97330574773,318276.6736691275,464266.6279203205,840766.0143890112
2023-10-25,116190.70628858353,211325.51099286834,318661.9852692471,466436.18497281394,842828.8578766423
2023-10-26,117699.49148735337,211491.28468521865,318482.65189340594,467181.03172712383,843065.1377214041
2023-10-27,116274.93231713498,211699.75451973465,317470.5214400434,467427.97001108713,840490.6327410635
2023-10-30,117113.18928226279,212575.84404957527,317094.4009845511,465681.819944373,838600.0845840375
2023-10-31,116993.32211161102,211859.57960454468,318241.50478650234,465664.3138302539,839060.9250845239
2023-11-01,117716.97840163448,212096.96041637374,318739.2389734321,465887.4661740789,850190.8609923533
2023-11-02,118284.55840844648,212699.59695621935,318945.44503614726,465955.9343808193,847800.1643812468
2023-11-03,118513.12809520132,212294.77070813137,317744.6301342534,466925.4306722819,845878.362298718
2023-11-06,118811.39873595342,211749.07263624528,316839.92555881105,465763.4264463606,853566.12260024
2023-11-07,118954.94109117301,211801.05152398153,317245.8778927893,466997.82887813257,842763.5038540277
2023-11-08,119272.20084748144,212612.28726817152,318829.96621576225,468460.9061252212,843809.4508074882
2023-11-09,119397.68481230507,212815.261132906,318312.8600164937,466444.9942257121,847696.7513828857
2023-11-10,119076.36614235867,213721.2104101611,319156.8657520693,465753.1579802935,850602.846899962
2023-11-13,119732.3925134046,212682.9124313443,319385.77997439296,467860.6226479933,848252.3638981769
2023-11-14,119447.91217381274,213694.07091310495,320892.8545622155,467937.04377250903,853539.6320633163
2023-11-15,119744.33709827102,213327.34822019568,322814.39035195287,467349.4653099356,853205.3017403992
2023-11-16,119288.98954462449,215055.19238542297,323283.85865933,467389.64107457927,846515.8152046292
