,static_equity
2021-07-01,141647.5129761696
2021-07-02,141159.54179620743
2021-07-06,140948.9800286293
2021-07-07,141125.58085870743
2021-07-08,141258.12111139297
2021-07-09,142674.2790055275
2021-07-12,142323.80225229263
2021-07-13,141635.32891321182
2021-07-14,141235.55119371414
2021-07-15,140414.08253145218
2021-07-16,138748.87889909744
2021-07-19,134597.13031816483
2021-07-20,141550.3177857399
2021-07-21,144893.55854272842
2021-07-22,141582.6508603096
2021-07-23,141974.0263695717
2021-07-26,143875.32795000076
2021-07-27,142469.21123170853
2021-07-28,142770.1627240181
2021-07-29,143222.74157190323
2021-07-30,142778.1887421608
2021-08-02,142646.57275629044
2021-08-03,142646.57275629044
2021-08-04,142646.57275629044
2021-08-05,142621.84900140762
2021-08-06,142765.2371506691
2021-08-09,143002.5728173256
2021-08-10,143071.7965798378
2021-08-11,143348.6870446205
2021-08-12,143312.11945199966
2021-08-13,144041.86246347427
2021-08-16,144543.14568567276
2021-08-17,144198.5966591835
2021-08-18,141919.3546872139
2021-08-19,141305.89732980728
2021-08-20,142076.73069620132
2021-08-23,143270.91913461685
2021-08-24,143437.806122303
2021-08-25,143864.0649781227
2021-08-26,142953.28338479996
2021-08-27,144824.8574795723
2021-08-30,144743.94213533401
2021-08-31,145237.3746495247
2021-09-01,144912.64284944534
2021-09-02,145955.1168179512
2021-09-03,145955.1168179512
2021-09-07,145955.1168179512
2021-09-08,145552.0013165474
2021-09-09,146875.94862413406
2021-09-10,145691.42697191238
2021-09-13,146649.60378313065
2021-09-14,143679.338367939
2021-09-15,145468.97050142288
2021-09-16,144736.85614824295
2021-09-17,143337.15021562576
2021-09-20,141395.77162218094
2021-09-21,140407.18324899673
2021-09-22,142820.31735277176
2021-09-23,145425.83601045609
2021-09-24,145245.06727838516
2021-09-27,145391.17984819412
2021-09-28,143184.41621255875
2021-09-29,143989.9136929512
2021-09-30,141310.31135606766
2021-10-01,143274.4530968666
2021-10-04,140508.0886902809
2021-10-05,143363.4086098671
2021-10-06,144833.6034836769
2021-10-07,147537.96331834793
2021-10-08,146372.3952240944
2021-10-11,145259.71099710464
2021-10-12,145384.33910226822
2021-10-13,145645.37717294693
2021-10-14,146652.4105668068
2021-10-15,146963.8357987404
2021-10-18,147028.46889352798
2021-10-19,147214.57248544693
2021-10-20,147457.92892313004
2021-10-21,147280.4169831276
2021-10-22,147216.7188630104
2021-10-25,147158.5104355812
2021-10-26,147247.0325074196
2021-10-27,146539.0739197731
2021-10-28,146960.01890039444
2021-10-29,146681.49293756485
2021-11-01,147503.1347336769
2021-11-02,146896.5912041664
2021-11-03,147513.97560739517
2021-11-04,147634.2528977394
2021-11-05,148854.5838456154
2021-11-08,149691.6535935402
2021-11-09,149689.21156549454
2021-11-10,149607.97970819473
2021-11-11,149607.97970819473
2021-11-12,149720.40824365616
2021-11-15,151422.43569040298
2021-11-16,152094.9493317604
2021-11-17,151228.03426218033
2021-11-18,150469.24158525467
2021-11-19,149115.12385988235
2021-11-22,150032.72574281693
2021-11-23,149583.68973970413
2021-11-24,149812.20467233658
2021-11-26,145956.8904862404
2021-11-29,148074.91860818863
2021-11-30,144355.96182107925
2021-12-01,142123.6000828743
2021-12-02,151342.7033753395
2021-12-03,149990.85256242752
2021-12-06,156180.04871225357
2021-12-07,159696.17315530777
2021-12-08,158659.84487009048
2021-12-09,155883.82562685013
2021-12-10,159044.507250309
2021-12-13,159050.51923799515
2021-12-14,157955.90358018875
2021-12-15,158913.38304185867
2021-12-16,158755.87359666824
2021-12-17,159105.48812913895
2021-12-20,158317.30143785477
2021-12-21,161006.89572954178
2021-12-22,161883.52214860916
2021-12-23,162593.0995373726
2021-12-27,164754.5622124672
2021-12-28,164732.07848215103
2021-12-29,164982.4872021675
2021-12-30,164380.58482599258
2021-12-31,164775.55754709244
2022-01-03,165234.57959794998
2022-01-04,166944.3436512947
2022-01-05,166944.3436512947
2022-01-06,166470.19170427322
2022-01-07,165562.28516435623
2022-01-10,165640.23822832108
2022-01-11,165955.43277788162
2022-01-12,166492.1680073738
2022-01-13,166624.99018144608
2022-01-14,165889.43207597733
2022-01-18,164375.4434132576
2022-01-19,163554.801674366
2022-01-20,162342.01975297928
2022-01-21,159867.70782518387
2022-01-24,162433.3894124031
2022-01-25,159263.12234926224
2022-01-26,158354.67748880386
2022-01-27,153339.24795389175
2022-01-28,156152.53304338455
2022-01-31,158588.67510843277
2022-02-01,160542.18693590164
2022-02-02,162057.46395730972
2022-02-03,160713.16578531265
2022-02-04,160671.65536546707
2022-02-07,160402.59664201736
2022-02-08,160637.22091722488
2022-02-09,161074.25363969803
2022-02-10,160842.9579014778
2022-02-11,161154.57151842117
2022-02-14,161424.02078294754
2022-02-15,161967.17147874832
2022-02-16,162414.10834550858
2022-02-17,162235.34774827957
2022-02-18,162532.6907658577
2022-02-22,161910.78391313553
2022-02-23,161168.41793870926
2022-02-24,160431.58297777176
2022-02-25,161062.8377995491
2022-02-28,160954.56250047684
2022-03-01,160954.56250047684
2022-03-02,160954.56250047684
2022-03-03,160954.56250047684
2022-03-04,160954.56250047684
2022-03-07,160954.56250047684
2022-03-08,160954.56250047684
2022-03-09,160954.56250047684
2022-03-10,160954.56250047684
2022-03-11,160954.56250047684
2022-03-14,160954.56250047684
2022-03-15,160954.56250047684
2022-03-16,160954.56250047684
2022-03-17,160954.56250047684
2022-03-18,160954.56250047684
2022-03-21,160954.56250047684
2022-03-22,160954.56250047684
2022-03-23,160954.56250047684
2022-03-24,160954.56250047684
2022-03-25,160954.56250047684
2022-03-28,160954.56250047684
2022-03-29,160954.56250047684
2022-03-30,160954.56250047684
2022-03-31,160954.56250047684
2022-04-01,160954.56250047684
2022-04-04,160698.05831956863
2022-04-05,160460.88377428055
2022-04-06,160322.09053087234
2022-04-07,160432.1867070198
2022-04-08,160466.73841905594
2022-04-11,160321.50599718094
2022-04-12,160176.8543858528
2022-04-13,160396.46220445633
2022-04-14,160398.2204594612
2022-04-18,160365.42607164383
2022-04-19,160365.42607164383
2022-04-20,160365.42607164383
2022-04-21,160365.42607164383
2022-04-22,160365.42607164383
2022-04-25,160365.42607164383
2022-04-26,160365.42607164383
2022-04-27,160365.42607164383
2022-04-28,160365.42607164383
2022-04-29,160365.42607164383
2022-05-02,160365.42607164383
2022-05-03,160365.42607164383
2022-05-04,160365.42607164383
2022-05-05,160365.42607164383
2022-05-06,160365.42607164383
2022-05-09,160365.42607164383
2022-05-10,160365.42607164383
2022-05-11,160365.42607164383
2022-05-12,160365.42607164383
2022-05-13,160365.42607164383
2022-05-16,160365.42607164383
2022-05-17,160365.42607164383
2022-05-18,160365.42607164383
2022-05-19,160365.42607164383
2022-05-20,160365.42607164383
2022-05-23,160365.42607164383
2022-05-24,160365.42607164383
2022-05-25,160365.42607164383
2022-05-26,160365.42607164383
2022-05-27,160365.42607164383
2022-05-31,160365.42607164383
2022-06-01,160365.42607164383
2022-06-02,160365.42607164383
2022-06-03,160365.42607164383
2022-06-06,160365.42607164383
2022-06-07,160365.42607164383
2022-06-08,160365.42607164383
2022-06-09,160365.42607164383
2022-06-10,160365.42607164383
2022-06-13,160365.42607164383
2022-06-14,160365.42607164383
2022-06-15,160365.42607164383
2022-06-16,160365.42607164383
2022-06-17,160365.42607164383
2022-06-21,160365.42607164383
2022-06-22,160365.42607164383
2022-06-23,160365.42607164383
2022-06-24,160365.42607164383
2022-06-27,160365.42607164383
2022-06-28,160365.42607164383
2022-06-29,160365.42607164383
2022-06-30,160365.42607164383
2022-07-01,160365.42607164383
2022-07-05,160365.42607164383
2022-07-06,160365.42607164383
2022-07-07,160365.42607164383
2022-07-08,160365.42607164383
2022-07-11,160365.42607164383
2022-07-12,160365.42607164383
2022-07-13,160365.42607164383
2022-07-14,160365.42607164383
2022-07-15,160365.42607164383
2022-07-18,160365.42607164383
2022-07-19,160365.42607164383
2022-07-20,160365.42607164383
2022-07-21,160365.42607164383
2022-07-22,160365.42607164383
2022-07-25,160365.42607164383
2022-07-26,160365.42607164383
2022-07-27,160365.42607164383
2022-07-28,160365.42607164383
2022-07-29,160365.42607164383
2022-08-01,160365.42607164383
2022-08-02,160365.42607164383
2022-08-03,160365.42607164383
2022-08-04,160365.42607164383
2022-08-05,160365.42607164383
2022-08-08,160365.42607164383
2022-08-09,160365.42607164383
2022-08-10,160365.42607164383
2022-08-11,160542.61796617508
2022-08-12,161366.22966051102
2022-08-15,161494.2118229866
2022-08-16,161868.2789463997
2022-08-17,161628.73648118973
2022-08-18,161874.84098863602
2022-08-19,161992.96612596512
2022-08-22,161399.04545640945
2022-08-23,161533.57849168777
2022-08-24,161786.2506260872
2022-08-25,161786.2506260872
2022-08-26,161786.2506260872
2022-08-29,161786.2506260872
2022-08-30,161786.2506260872
2022-08-31,161786.2506260872
2022-09-01,161786.2506260872
2022-09-02,161786.2506260872
2022-09-06,161786.2506260872
2022-09-07,161786.2506260872
2022-09-08,161786.2506260872
2022-09-09,161786.2506260872
2022-09-12,161786.2506260872
2022-09-13,161786.2506260872
2022-09-14,161786.2506260872
2022-09-15,161786.2506260872
2022-09-16,161786.2506260872
2022-09-19,161786.2506260872
2022-09-20,161786.2506260872
2022-09-21,161786.2506260872
2022-09-22,161786.2506260872
2022-09-23,161786.2506260872
2022-09-26,161786.2506260872
2022-09-27,161786.2506260872
2022-09-28,161786.2506260872
2022-09-29,161786.2506260872
2022-09-30,161786.2506260872
2022-10-03,161786.2506260872
2022-10-04,161786.2506260872
2022-10-05,161786.2506260872
2022-10-06,161786.2506260872
2022-10-07,161786.2506260872
2022-10-10,161786.2506260872
2022-10-11,161786.2506260872
2022-10-12,161786.2506260872
2022-10-13,161786.2506260872
2022-10-14,161786.2506260872
2022-10-17,161786.2506260872
2022-10-18,161786.2506260872
2022-10-19,161786.2506260872
2022-10-20,161786.2506260872
2022-10-21,161786.2506260872
2022-10-24,161786.2506260872
2022-10-25,161786.2506260872
2022-10-26,161786.2506260872
2022-10-27,161786.2506260872
2022-10-28,161786.2506260872
2022-10-31,161786.2506260872
2022-11-01,161786.2506260872
2022-11-02,161786.2506260872
2022-11-03,161786.2506260872
2022-11-04,161786.2506260872
2022-11-07,161786.2506260872
2022-11-08,161786.2506260872
2022-11-09,161786.2506260872
2022-11-10,161786.2506260872
2022-11-11,161786.2506260872
2022-11-14,161786.2506260872
2022-11-15,161786.2506260872
2022-11-16,161786.2506260872
2022-11-17,161786.2506260872
2022-11-18,161786.2506260872
2022-11-21,161786.2506260872
2022-11-22,161786.2506260872
2022-11-23,161786.2506260872
2022-11-25,161786.2506260872
2022-11-28,161786.2506260872
