range_day,range_width_pips,direction,trigger_kind,entry_time,exit_time,vix_at_entry,high_vix,entry_price,sl,tp,exit_price,sl_dist,r_multiple,exit_reason,hold_bars
2024-07-18,4.60000000000127,long,fractal,2024-07-18 08:15:00+02:00,2024-07-18 08:20:00+02:00,14.479999542236328,False,1.0935565208968525,1.0930367927458589,1.0937916036270705,1.0930202718490063,0.0005032072541412088,-1.06566239543068,stop,1
2024-07-19,3.4000000000000696,short,fractal,2024-07-19 07:50:00+02:00,2024-07-19 08:05:00+02:00,15.930000305175781,False,1.0887834791031474,1.0891741972470181,1.088612901376491,1.0886294222733435,0.00037419724701805775,0.4116995275396212,take_profit,3
2024-07-22,5.699999999999594,short,fractal,2024-07-22 08:15:00+02:00,2024-07-22 08:15:00+02:00,16.520000457763672,False,1.0886134791031474,1.0891451297218584,1.0883724351390707,1.0883889560359232,0.0005151297218584673,0.43585733398215903,take_profit,0
2024-07-24,4.20000000000087,long,choch,2024-07-24 07:20:00+02:00,2024-07-24 07:35:00+02:00,14.720000267028809,False,1.0848165208968525,1.0843457706341457,1.0850271146829271,1.0850105937860746,0.0004542293658542579,0.4272574690476712,take_profit,3
2024-07-25,5.800000000000249,long,fractal,2024-07-25 08:45:00+02:00,2024-07-25 09:05:00+02:00,18.040000915527344,False,1.0836065208968526,1.0829994555868308,1.0838852722065848,1.0829829346899782,0.000590544413169318,-1.055951411897659,stop,4
2024-07-26,3.00000000000189,long,fractal,2024-07-26 08:25:00+02:00,2024-07-26 09:20:00+02:00,18.459999084472656,False,1.0852765208968524,1.0847433309350314,1.0855183345324841,1.0847268100381788,0.0005166690649684054,-1.0639515619291593,stop,11
2024-07-29,5.5000000000005045,short,choch,2024-07-29 08:05:00+02:00,2024-07-29 08:15:00+02:00,16.389999389648438,False,1.0857234791031474,1.0861566422634237,1.085531678868288,1.0861731631602762,0.00041664226342378376,-1.079304949607263,stop,2
2024-07-30,3.300000000001635,short,fractal,2024-07-30 08:35:00+02:00,2024-07-30 08:45:00+02:00,16.600000381469727,False,1.0822734791031474,1.0828133614101336,1.0820283192949331,1.0820448401917857,0.000523361410133639,0.4368662017005212,take_profit,2
2024-07-31,4.499999999998394,short,fractal,2024-07-31 08:00:00+02:00,2024-07-31 08:00:00+02:00,17.690000534057617,False,1.0824534791031475,1.0830279200880648,1.0821910399559678,1.0822075608528203,0.0005579200880647369,0.44077683451079647,take_profit,0
2024-08-01,9.099999999999664,short,fractal,2024-08-01 07:25:00+02:00,2024-08-01 08:05:00+02:00,16.360000610351562,False,1.0827234791031475,1.083270231383295,1.0824748843083527,1.0824914052052053,0.0005302313832948112,0.43768419835908823,take_profit,8
2024-08-02,6.200000000000649,long,fractal,2024-08-02 07:40:00+02:00,2024-08-02 07:45:00+02:00,18.59000015258789,False,1.0797065208968526,1.0791950428441726,1.0799374785779137,1.0799209576810611,0.0004949571558273988,0.4332431235387458,take_profit,1
2024-08-05,12.000000000000899,short,fractal,2024-08-05 09:50:00+02:00,2024-08-05 10:10:00+02:00,23.389999389648438,True,1.0942034791031474,1.097402389887614,1.092856118619594,1.0974189107844665,0.0031823898876140564,-1.0103826981834143,stop,4
2024-08-07,5.299999999999194,short,fractal,2024-08-07 08:45:00+02:00,2024-08-07 09:25:00+02:00,27.709999084472656,True,1.0911834791031474,1.0921419894503985,1.0907962902355435,1.092158510347251,0.0009419894503986194,-1.035076606952546,stop,8
2024-08-08,6.900000000000794,short,fractal,2024-08-08 08:25:00+02:00,2024-08-08 09:00:00+02:00,27.850000381469727,True,1.0935734791031475,1.0944952167416624,1.093202049967859,1.094511737638515,0.0009052167416624014,-1.0365015274069729,stop,7
2024-08-09,3.9999999999995595,short,fractal,2024-08-09 07:20:00+02:00,2024-08-09 08:25:00+02:00,23.790000915527344,True,1.0919334791031474,1.0924760051555555,1.0917245692190476,1.092492526052408,0.0005260051555555738,-1.062816482606914,stop,13
2024-08-12,7.800000000000029,long,choch,2024-08-12 08:50:00+02:00,2024-08-12 09:15:00+02:00,20.3700008392334,True,1.0922865208968526,1.0916201019103295,1.092548527752716,1.0925320068558635,0.0006498980896705763,0.3777299286035656,take_profit,5
2024-08-13,3.5000000000007248,long,fractal,2024-08-13 07:50:00+02:00,2024-08-13 07:55:00+02:00,20.709999084472656,True,1.0938765208968526,1.0934590465742573,1.094031837182461,1.0940153162856086,0.00040095342574270645,0.34616336922135893,take_profit,1
2024-08-14,3.6999999999998145,long,fractal,2024-08-14 08:25:00+02:00,2024-08-14 08:35:00+02:00,18.1200008392334,False,1.0991965208968526,1.0986682100451983,1.099435894977401,1.0994193740805485,0.0005117899548017736,0.4354387607747687,take_profit,2
2024-08-15,3.9999999999995595,long,choch,2024-08-15 07:50:00+02:00,2024-08-15 07:55:00+02:00,16.190000534057617,False,1.1012665208968526,1.1009463984101324,1.101401800794934,1.1009298775132799,0.00030360158986766396,-1.1088327426727014,stop,1
2024-08-16,6.300000000001305,long,choch,2024-08-16 07:20:00+02:00,2024-08-16 07:40:00+02:00,15.229999542236328,False,1.0983265208968525,1.0979539360060833,1.098488031996958,1.0984715111001055,0.00035606399391658667,0.4072026538214326,take_profit,4
2024-08-19,5.20000000000076,long,choch,2024-08-19 08:45:00+02:00,2024-08-19 10:20:00+02:00,14.800000190734863,False,1.1045965208968525,1.1038661023032281,1.1049369488483858,1.1049204279515332,0.0007138976967717111,0.45371634639738934,take_profit,19
2024-08-20,4.299999999999304,short,fractal,2024-08-20 08:05:00+02:00,2024-08-20 08:40:00+02:00,14.649999618530273,False,1.1075834791031474,1.1080653665821247,1.1073673167089375,1.1080818874789773,0.0004653665821247049,-1.0710016468186565,stop,7
2024-08-21,4.8000000000003595,short,fractal,2024-08-21 08:30:00+02:00,2024-08-21 08:50:00+02:00,15.880000114440918,False,1.1116734791031475,1.1122217626169664,1.1114241186915168,1.1114406395883694,0.0005317626169663509,0.43786363943083073,take_profit,4
2024-08-22,4.999999999999449,long,choch,2024-08-22 10:05:00+02:00,2024-08-22 14:20:00+02:00,16.270000457763672,False,1.1145865208968526,1.113104122464233,1.1153029387678837,1.1130876015673805,0.0014658775357670587,-1.0225406235506262,stop,51
2024-08-23,3.8000000000004697,short,fractal,2024-08-23 09:00:00+02:00,2024-08-23 09:20:00+02:00,17.549999237060547,False,1.1127834791031475,1.1133663460772012,1.1125168269613994,1.112533347858252,0.000566346077201076,0.44165794549446974,take_profit,4
2024-08-26,4.100000000000215,short,fractal,2024-08-26 08:45:00+02:00,2024-08-26 08:50:00+02:00,15.859999656677246,False,1.1186834791031475,1.1193226210409155,1.1183886894795423,1.1184052103763948,0.0006226210409154063,0.44693113220765057,take_profit,1
2024-08-27,2.80000000000058,long,fractal,2024-08-27 08:20:00+02:00,2024-08-27 08:40:00+02:00,16.149999618530273,False,1.1170165208968525,1.116415046721413,1.1172924766392935,1.1163985258245603,0.0005849532785870315,-1.05648620994995,stop,4
2024-08-29,3.6999999999998145,short,fractal,2024-08-29 07:25:00+02:00,2024-08-29 08:00:00+02:00,17.110000610351562,False,1.1133634791031475,1.1138205552463316,1.1131597223768344,1.1138370761431842,0.0004405552463315653,-1.075000341002081,stop,7
2024-08-30,5.40000000000207,long,choch,2024-08-30 07:55:00+02:00,2024-08-30 08:45:00+02:00,15.649999618530273,False,1.1077365208968526,1.1072623013702207,1.1079488493148897,1.1079323284180371,0.0004576986297793979,0.42780884286000115,take_profit,10
2024-09-03,4.899999999998794,long,fractal,2024-09-03 08:40:00+02:00,2024-09-03 08:55:00+02:00,15.0,False,1.1055465208968525,1.1047426433971328,1.1059236783014335,1.105907157404581,0.0007873566028671291,0.4580345251633072,take_profit,3
2024-09-04,3.4999999999985043,long,choch,2024-09-04 07:20:00+02:00,2024-09-04 07:30:00+02:00,20.719999313354492,True,1.1057365208968526,1.105238391437082,1.105926403669822,1.1059098827729694,0.00048160856291810635,0.3599642727828897,take_profit,2
2024-09-06,3.8000000000004697,long,choch,2024-09-06 07:20:00+02:00,2024-09-06 07:35:00+02:00,19.899999618530273,False,1.1117965208968525,1.1114043021168123,1.1119678489415938,1.1113877812199597,0.00037569788318777956,-1.087947777146555,stop,3
2024-09-09,5.699999999999594,short,fractal,2024-09-09 07:20:00+02:00,2024-09-09 07:30:00+02:00,22.3799991607666,True,1.1074134791031474,1.1078799093539171,1.107237181705464,1.1072537026023166,0.00044990935391727886,0.3551304266951136,take_profit,2
2024-09-10,4.500000000000615,long,fractal,2024-09-10 08:15:00+02:00,2024-09-10 08:25:00+02:00,19.450000762939453,False,1.1036165208968525,1.1031379542507542,1.1038310228746226,1.10381450197777,0.0004620457492456766,0.428488047430018,take_profit,2
2024-09-11,9.200000000000319,long,fractal,2024-09-11 07:55:00+02:00,2024-09-11 08:10:00+02:00,19.079999923706055,False,1.1044165208968526,1.1038059147156163,1.104697042642192,1.1046805217453395,0.0005940852843838032,0.44438207009403563,take_profit,3
2024-09-12,3.20000000000098,long,choch,2024-09-12 09:30:00+02:00,2024-09-12 10:30:00+02:00,17.690000534057617,False,1.1013965208968526,1.1004959398345096,1.1018220300827453,1.1018055091858927,0.0008840601654904606,0.46262494907597707,take_profit,12
2024-09-13,4.199999999998649,short,choch,2024-09-13 07:25:00+02:00,2024-09-13 08:05:00+02:00,17.06999969482422,False,1.1083334791031474,1.1088173588355215,1.1081163205822393,1.1081328414790919,0.00046735883552143765,0.42930101841699275,take_profit,8
2024-09-16,7.899999999998464,short,choch,2024-09-16 07:30:00+02:00,2024-09-16 08:05:00+02:00,16.559999465942383,False,1.1096134791031473,1.110116943150094,1.109386528424953,1.1101334640469465,0.0004869431500939792,-1.0678555467897375,stop,7
2024-09-17,2.8999999999990145,long,fractal,2024-09-17 09:20:00+02:00,2024-09-17 09:20:00+02:00,17.139999389648438,False,1.1120765208968526,1.1111917359954044,1.1124941320022979,1.1124776111054453,0.0008682640045956641,0.46194499192612787,take_profit,0
2024-09-18,6.399999999999739,short,choch,2024-09-18 07:15:00+02:00,2024-09-18 08:00:00+02:00,17.610000610351562,False,1.1119034791031475,1.1123111705661843,1.1117244147169079,1.112327691463037,0.0003911705661842431,-1.0844690182789087,stop,9
2024-09-20,4.100000000000215,short,choch,2024-09-20 07:45:00+02:00,2024-09-20 08:00:00+02:00,16.329999923706055,False,1.1163134791031475,1.1168174565268378,1.1160862717365811,1.1168339774236904,0.0004874565268378939,-1.0677840830634733,stop,3
2024-09-24,8.300000000001084,long,fractal,2024-09-24 07:50:00+02:00,2024-09-24 08:10:00+02:00,15.890000343322754,False,1.1116265208968525,1.111058659144251,1.1118856704278746,1.1110421382473985,0.0005513408557489531,-1.0599298843184815,stop,4
2024-09-25,5.1000000000001044,short,fractal,2024-09-25 07:45:00+02:00,2024-09-25 08:05:00+02:00,15.390000343322754,False,1.1194134791031474,1.1199277441106665,1.1191811279446666,1.1191976488415192,0.0004977441106665504,0.4336169067659364,take_profit,4
2024-09-26,5.800000000000249,long,choch,2024-09-26 10:35:00+02:00,2024-09-26 11:30:00+02:00,15.40999984741211,False,1.1143665208968525,1.1126631003170744,1.1151934498414626,1.11517692894461,0.0016868996829254648,0.4804127097541034,take_profit,11
