,walk_forward_equity
2020-09-01,91784.81084537506
2020-09-02,92532.8474740982
2020-09-03,92113.64414310455
2020-09-04,92230.45932865143
2020-09-07,92491.24134159088
2020-09-08,92315.82566165924
2020-09-09,93026.07123661041
2020-09-10,92817.85144901276
2020-09-11,93003.09778690338
2020-09-14,92643.57819461823
2020-09-15,92600.37995243073
2020-09-16,92600.37995243073
2020-09-17,92600.37995243073
2020-09-18,92600.37995243073
2020-09-21,92600.37995243073
2020-09-22,93216.50954723358
2020-09-23,93537.51948165894
2020-09-24,93099.54284954071
2020-09-25,93149.14795398712
2020-09-28,94274.42082309723
2020-09-29,94200.84710979462
2020-09-30,94227.80351161957
2020-10-01,94033.34997081757
2020-10-02,94058.3283624649
2020-10-05,94729.43675708771
2020-10-06,94729.43675708771
2020-10-07,94729.43675708771
2020-10-08,94729.43675708771
2020-10-09,94729.43675708771
2020-10-12,94729.43675708771
2020-10-13,94729.43675708771
2020-10-14,94729.43675708771
2020-10-15,94729.43675708771
2020-10-16,95030.57860279083
2020-10-19,95037.12155628204
2020-10-20,94382.46059131622
2020-10-21,94023.78217792511
2020-10-22,93938.91978168488
2020-10-23,94223.60119342804
2020-10-26,93766.08888721466
2020-10-27,93829.65996265411
2020-10-28,93625.32304859161
2020-10-29,93198.4853258133
2020-10-30,93198.4853258133
2020-11-02,93198.4853258133
2020-11-03,93198.4853258133
2020-11-04,93198.4853258133
2020-11-05,93198.4853258133
2020-11-06,93198.4853258133
2020-11-09,93198.4853258133
2020-11-10,93198.4853258133
2020-11-11,93198.4853258133
2020-11-12,93198.4853258133
2020-11-13,93198.4853258133
2020-11-16,93198.4853258133
2020-11-17,93198.4853258133
2020-11-18,93198.4853258133
2020-11-19,93198.4853258133
2020-11-20,93198.4853258133
2020-11-23,93198.4853258133
2020-11-24,93198.4853258133
2020-11-25,93198.4853258133
2020-11-26,93198.4853258133
2020-11-27,93198.4853258133
2020-11-30,93198.4853258133
2020-12-01,93198.4853258133
2020-12-02,93198.4853258133
2020-12-03,93198.4853258133
2020-12-04,93198.4853258133
2020-12-07,93198.4853258133
2020-12-08,93198.4853258133
2020-12-09,93198.4853258133
2020-12-10,93198.4853258133
2020-12-11,93198.4853258133
2020-12-14,93432.32569599152
2020-12-15,94521.40244674683
2020-12-16,94870.21555519104
2020-12-17,95332.60091543198
2020-12-18,95673.86494588852
2020-12-21,94205.00597906113
2020-12-22,94492.00773954391
2020-12-23,95167.91981840134
2020-12-24,95167.91981840134
2020-12-28,95615.30182027817
2020-12-29,95845.88255262375
2020-12-30,95729.26127767563
2020-12-31,95729.26127767563
2021-01-04,95729.26127767563
2021-01-05,95729.26127767563
2021-01-06,95729.26127767563
2021-01-07,95729.26127767563
2021-01-08,95729.26127767563
2021-01-11,95729.26127767563
2021-01-12,95729.26127767563
2021-01-13,95729.26127767563
2021-01-14,95729.26127767563
2021-01-15,95729.26127767563
2021-01-18,95729.26127767563
2021-01-19,95729.26127767563
2021-01-20,95729.26127767563
2021-01-21,95729.26127767563
2021-01-22,95729.26127767563
2021-01-25,95729.26127767563
2021-01-26,95729.26127767563
2021-01-27,95729.26127767563
2021-01-28,95729.26127767563
2021-01-29,95378.73542928696
2021-02-01,95061.73831319809
2021-02-02,93243.5842909813
2021-02-03,93008.26957082748
2021-02-04,93125.0265212059
2021-02-05,93073.57569265366
2021-02-08,93133.75854635239
2021-02-09,93100.80211400986
2021-02-10,93220.54660177231
2021-02-11,93396.12747716904
2021-02-12,93549.38057470322
2021-02-15,93551.66761922836
2021-02-16,93576.82768392563
2021-02-17,93576.82768392563
2021-02-18,93706.9006819725
2021-02-19,93377.37812948227
2021-02-22,93264.64448690414
2021-02-23,93549.80230855942
2021-02-24,93240.03159475327
2021-02-25,92893.30798864365
2021-02-26,92015.63332891464
2021-03-01,92686.71017980576
2021-03-02,93002.30127477646
2021-03-03,92382.30993413925
2021-03-04,92886.36612462997
2021-03-05,93142.36090612411
2021-03-08,93841.23109197617
2021-03-09,94256.89481115341
2021-03-10,94462.53770208359
2021-03-11,94519.42017889023
2021-03-12,94519.42017889023
2021-03-15,94519.42017889023
2021-03-16,94519.42017889023
2021-03-17,94519.42017889023
2021-03-18,94519.42017889023
2021-03-19,94519.42017889023
2021-03-22,94519.42017889023
