,p5,p25,p50,p75,p95
2020-03-16,88268.67591820519,98520.30419495763,104760.17426607273,112090.30473212899,121666.50423366632
2020-03-17,88293.38819137201,98419.04236814102,104843.88527165748,112142.24590329688,121851.07159295976
2020-03-18,88296.82637870658,98376.02190953077,104852.69940404085,112185.99946063993,122057.4737789236
2020-03-19,88296.82637870658,98365.38769420741,104931.55225718993,112149.6406010215,121978.8112444705
2020-03-20,88238.49040573224,98350.17607123165,104836.27841132949,112149.41719328814,122102.17513578908
2020-03-23,88299.30931706827,98331.22256886323,104836.27841132949,112208.66440690147,122057.45214731788
2020-03-24,88148.7533535025,98336.84367440485,104836.27841132949,112136.1588625658,121693.02237429205
2020-03-25,88288.9297228068,98369.85840400241,104835.91561125527,112205.8482273274,121775.5494227343
2020-03-26,88271.55143327049,98440.31952114454,104760.59194194945,112208.66440690147,121656.83948900878
2020-03-27,88254.83339972807,98337.1052737309,104800.56081825489,112222.21733499676,121789.66385732379
2020-03-30,88216.44901908631,98337.29031258728,104931.55225718993,112136.1588625658,121618.43308457687
2020-03-31,88123.9593877141,98269.20957829375,104931.55225718993,112131.76197338753,121674.12084230005
2020-04-01,88128.90278325198,98233.40204007151,104890.14964032783,112086.2555887368,121824.63517882227
2020-04-02,88180.92835600347,98246.20198315897,104905.84736974833,112131.52995949017,121658.18462696114
2020-04-03,88169.92628801269,98249.05115231712,104873.42146355018,112149.34954416231,121744.40720592592
2020-04-06,88232.5304615594,98273.01207788792,104867.29118630505,112206.62607531997,121733.24417623444
2020-04-07,88261.15934833104,98275.4584552223,104838.7668572147,112218.7004095083,121957.17926672556
2020-04-08,88339.95561796085,98357.45501479277,104771.96265097981,112232.09176988495,122084.8598865451
2020-04-09,88270.35642048059,98302.03991583476,104926.8051559875,112231.71715137897,122321.61025005179
2020-04-14,88247.84406610105,98273.19882530379,104939.11077456217,112218.7004095083,122344.28465043433
2020-04-15,88261.98519596159,98344.0051140536,104933.91287181899,112229.76356336204,122574.57481232069
2020-04-16,88248.210232857,98294.52075742392,104939.9691082097,112257.23895555103,122589.37871444963
2020-04-17,88360.58394592165,98278.33343222932,104921.73714229015,112204.02620658439,122649.04742566712
2020-04-20,88312.62327428395,98312.55941057939,104931.9557733192,112302.33151731211,122652.08977740577
2020-04-21,88312.62327428395,98418.54045770536,104939.9691082097,112312.44248896226,122673.63293832108
2020-04-22,88422.2399001239,98503.76220478644,105011.28459491338,112418.32141575162,122680.18743828387
2020-04-23,88225.97263766281,98424.41802644113,104959.8520523521,112335.62309052619,122754.66703802212
2020-04-24,88311.96522776538,98487.47473936106,104890.38858151436,112321.37539186366,122680.18743828387
2020-04-27,88191.8527506926,98517.77364284228,104955.48003172781,112358.16289310566,122666.2698421973
2020-04-28,88250.79000494124,98431.64241868281,105044.6870191516,112429.33107941035,122754.74130309028
2020-04-29,88483.88906195427,98418.86750962507,104994.09445552042,112429.33107941035,122754.74130309028
2020-04-30,88315.12159796074,98367.76868855974,105074.09963374534,112388.67913251802,122754.74130309028
2020-05-04,88480.62022979389,98407.80745786312,104972.29342654556,112442.50527313231,122776.99397598008
2020-05-05,88467.85113648613,98441.90770552194,105035.57038766409,112523.2483678929,122794.20482879686
2020-05-06,88201.40702763725,98351.83318519185,105061.54097281069,112587.53340706744,122819.77920197078
2020-05-07,88324.92476048265,98415.22615533073,105133.41185553538,112591.04252171385,122848.10039769867
2020-05-08,88405.90788163166,98418.59861371784,105172.66523883297,112474.78909254685,122819.77920197078
2020-05-11,88405.90788163166,98397.17271965291,105216.72062997025,112556.11014231961,122822.35670809088
2020-05-12,88408.15749508736,98505.41124825829,105221.53191328465,112473.2430000001,122815.51546265537
2020-05-13,88481.77822854328,98448.7441785185,105216.72062997025,112526.6225910392,122897.8645908736
2020-05-14,88486.88955536539,98555.54124246558,105277.39554074008,112753.66643910758,122897.8999573443
2020-05-15,88481.86196768185,98448.19721912016,105288.16582854476,112698.30080214498,123086.54124686129
2020-05-18,88480.22179815538,98540.21587940762,105278.31655337973,112659.41967466951,123147.32776861124
2020-05-19,88408.87972347566,98605.09043433097,105331.2870423418,112747.70970113752,122918.66474109415
2020-05-20,88368.8072157375,98587.17587952102,105272.04317228546,112621.27073169517,123144.47619006751
2020-05-21,88502.03238903004,98538.78962968188,105264.34814849641,112602.26103099057,123144.47619006751
2020-05-22,88406.72722891944,98588.30456156988,105252.69889810891,112737.59324657772,123144.47619006751
2020-05-25,88359.44800262697,98554.04427681863,105246.40000755462,112800.28896693066,123203.96536550904
2020-05-26,88241.17524551251,98571.81619584326,105217.22049885537,112805.08356317868,123186.34987912772
2020-05-27,88336.34044788383,98585.08128765973,105336.19592697259,112810.02412055794,123143.78322285606
2020-05-28,88214.61342043626,98438.14686769323,105303.82690326596,112881.34084887012,123145.65212453288
2020-05-29,88164.79251549763,98534.30955020041,105294.63650757552,112848.29328781634,123144.77983954281
2020-06-01,88200.8376978828,98530.42193195135,105410.79826720137,112881.48923916994,123216.54771292012
2020-06-02,88310.27245896198,98502.4663701134,105262.2626278422,113001.84169725579,123225.51577775262
2020-06-03,88240.62201278293,98570.2643421878,105255.81048725185,113076.22506690735,123225.24469443149
2020-06-04,88329.83732301573,98493.50493739003,105284.47114224973,112988.05608234747,123360.43960140535
2020-06-05,88221.48199135852,98584.70131037038,105368.15519446312,113031.6551198253,123317.29874971471
2020-06-08,88198.19870951619,98595.3424312933,105402.5027373955,113039.5198553279,123214.4258145285
2020-06-09,88220.6719745442,98658.68910466557,105393.86873978903,113023.77104325597,123213.87453233596
2020-06-10,88221.6155079758,98646.6788497464,105422.06184495648,113119.12580247171,123326.50941820582
2020-06-11,88275.7549600207,98675.12444436511,105378.34703595094,113072.53753364639,123595.54057635182
2020-06-12,88088.46337208503,98825.1175967043,105392.24808175482,113049.32827060382,123635.32905955089
2020-06-15,88178.06571364799,98785.93020364107,105393.03849443463,113046.15910170384,123691.64872590685
2020-06-16,88186.12367058895,98664.36190693162,105396.55133820535,113052.52398052103,123635.32905955089
2020-06-17,88186.12367058895,98490.94844197214,105494.14712408523,113057.52997916157,123635.20667382346
2020-06-18,88199.2847590393,98514.73244310461,105483.6039854507,113049.19354216219,123635.32905955089
2020-06-19,88088.68110985261,98488.74208135993,105486.93916218684,113066.35840723725,123769.67323852597
2020-06-22,88095.6732362081,98564.72540258981,105620.72878999508,113183.31329368828,123691.64872590685
2020-06-23,88086.26742601518,98428.30239724307,105648.79846329786,113011.6288132571,123809.75334689279
2020-06-24,88134.62395953538,98503.33420111742,105632.45830022343,113024.8648252109,123599.76870911452
2020-06-25,87949.67286978629,98490.5108220095,105685.28971869756,113055.74254871326,123688.06743037318
2020-06-26,87938.55086970476,98408.18553159323,105755.15848878454,113068.6959382715,123714.1495158763
2020-06-29,87846.72770485842,98447.8133288666,105762.82456916125,113183.72474584909,123645.77438887024
2020-06-30,87889.92671891229,98529.38156942945,105721.9845484589,113208.41690958092,123814.35452615283
2020-07-01,87889.92671891229,98613.78323560697,105652.55045713612,113301.11919518403,123686.58932061882
2020-07-02,87947.99771134813,98634.24272020403,105674.72801358228,113352.86687258563,123685.52112489256
2020-07-03,88086.26742601518,98639.657759933,105678.98887232397,113324.46774657862,123551.17122443317
2020-07-06,88089.7302642826,98657.40234849187,105669.08523581197,113322.42971084297,123568.51204206348
2020-07-07,87947.92501702695,98695.10231329288,105647.64398639844,113246.67402585037,123466.46438851292
2020-07-08,87948.6352928762,98617.6222633552,105682.71643106261,113249.04295251028,123547.05246066258
2020-07-09,88082.82691211607,98675.13188444354,105636.83120165819,113151.10506438931,123694.95239126513
2020-07-10,87936.0366403903,98703.33082792153,105603.01285894826,113121.90359835906,123691.09561019845
2020-07-13,88033.95732127067,98715.21288090633,105631.66219478672,113188.54626244919,123436.66907816495
2020-07-14,87682.35437006266,98667.42972195716,105704.50764701513,113151.10506438931,123470.21027868548
2020-07-15,87652.42405232815,98697.36347613017,105757.83623373852,113199.91322756458,123439.05448963567
2020-07-16,87652.42405232815,98701.24660431306,105703.46602693098,113242.43153782457,123615.00768656268
2020-07-17,87522.26229124093,98763.87679152278,105682.7532070533,113297.48311763005,123814.11897118544
2020-07-20,87604.91256104542,98716.91944224277,105740.53513001543,113269.263609623,123451.66133704066
2020-07-21,87720.1334589925,98710.25431903961,105692.08834117782,113211.17242043589,123804.84918096039
2020-07-22,87878.43291671641,98723.13264268999,105706.5338477909,113264.90861969511,123814.55955448022
2020-07-23,87811.39999692672,98789.0978431478,105693.15987607307,113348.85518525797,124099.68722324006
2020-07-24,87798.14194676059,98787.37721675102,105752.81071068204,113247.6408421454,124132.94522146856
2020-07-27,87548.94760680538,98790.52078893871,105744.56575512898,113272.44714633113,124120.43351569097
2020-07-28,87522.23925523278,98869.07216435166,105782.10875691813,113351.82649345466,124120.43351569097
2020-07-29,87522.30113437392,98887.14493907035,105790.75475530954,113441.46352574199,124122.32432617813
2020-07-30,87741.8005693381,98759.30524472542,105769.26766920203,113441.46352574199,124293.01517276737
2020-07-31,87517.61637711372,98821.34238841641,105789.13314892392,113352.41086275359,124253.87420003061
2020-08-03,87471.87072510319,98757.20052848599,105904.36678716779,113428.53475908576,124350.97996056227
2020-08-04,87577.35563629914,98759.66399816467,105750.16857694331,113449.20061203651,124310.41442943818
2020-08-05,87486.79677056684,98765.35229566862,105739.21054723859,113502.07258115859,124319.08400505719
2020-08-06,87459.70018431745,98703.7514448417,105723.15442773314,113536.22675655094,124585.52757780282
2020-08-07,87407.94755627526,98675.56563333186,105733.01765189966,113503.5318208842,124602.36903785255
2020-08-10,87445.33233880346,98730.58200650831,105790.85271361534,113445.11172798881,124590.13882510718
