,BBfull,BBOU,DAX
2022-04-11,72434.78704476357,95174.29497337341,110266.10693244306
2022-04-12,73231.9885904789,95365.0237941742,109739.12359981406
2022-04-13,72851.48781180382,95199.99311637878,109362.24303796353
2022-04-14,73631.1056087017,95481.01270103455,110041.33971730393
2022-04-19,73846.08241963387,95436.36318778992,109960.62078390762
2022-04-20,74950.80978178978,96214.27286338806,111581.03876671122
2022-04-21,76272.97066998482,97040.5207271576,112671.67378473772
2022-04-22,75745.63414931297,96897.56433677673,109872.28442320331
2022-04-25,74818.79913640022,96887.24316215515,108179.22774612995
2022-04-26,73669.95918822289,97100.2972612381,106875.79792361375
2022-04-27,73645.72718596458,96579.93631076813,107167.45282714668
2022-04-28,75500.87789702415,97146.65148925781,108611.7367711501
2022-04-29,76995.47299265862,97151.09627437592,109528.80977015475
2022-05-02,76166.8678176403,96985.4921836853,108294.99139739049
2022-05-03,76370.7925927639,96985.4921836853,109075.01140148295
2022-05-04,75516.89679598808,96985.4921836853,108541.66250957963
2022-05-05,76002.03619551659,96985.4921836853,108011.02220487648
2022-05-06,74449.09567713737,96985.4921836853,106237.86873488416
2022-05-09,72806.3134086132,95455.91704940796,103956.68445558497
2022-05-10,73413.14231276512,96146.41621780396,105153.68273400087
2022-05-11,77483.36064314842,99021.99100875854,107437.03691789179
2022-05-12,78161.72188353539,98942.95524978638,106745.58088687339
2022-05-13,78832.7499024868,99940.43493080139,108985.35488903405
2022-05-16,79633.95661330223,100174.08320617676,108491.62572362713
2022-05-17,80311.08590102196,101465.38410568237,110212.96703118282
2022-05-18,79849.97436308861,100873.84039497375,108828.65135953248
2022-05-19,79717.3781440258,100537.33683776855,107853.93173434632
2022-05-20,79592.31676220894,100316.65463066101,108627.82137861323
2022-05-23,78025.85338997841,99881.46542930603,110131.07968762175
2022-05-24,79515.21168589592,100433.1111240387,108144.888626612
2022-05-25,78464.49289822578,100174.58507442474,108829.9715112771
2022-05-26,77317.87138772011,99900.47192764282,110565.2958054151
2022-05-27,77895.28236556053,100288.36315727234,112359.19993645063
2022-05-30,76873.63305735588,99774.49344921112,113243.25396768193
2022-05-31,79262.88795399666,101329.55739974976,111785.51813262563
2022-06-01,79465.66169190407,101861.98690032959,111413.53123672497
2022-06-02,77445.67617344856,100243.76261425018,112537.73149221229
2022-06-03,78355.40884613991,100604.86803913116,112342.88012953875
2022-06-06,76505.74102520943,99703.00301361084,113847.9214021104
2022-06-07,77025.12283825874,100034.88039779663,113092.84012666476
2022-06-08,77128.35313153267,99920.1322593689,112233.3378830517
2022-06-09,78457.95608639717,99671.78728485107,110312.87368734999
2022-06-10,79884.57902646065,101780.54796218872,106917.98208280947
2022-06-13,78699.79998135567,101651.78198623657,104316.865856574
2022-06-14,78098.76109623909,101540.60206985474,103364.05012843786
2022-06-15,80688.98328709602,103488.66638565063,104769.49581508104
2022-06-16,76555.09955143929,100358.804479599,101298.23267340667
2022-06-17,77506.09002804756,100757.61491775513,101980.1289848951
2022-06-20,80081.94074368477,103161.76211071014,103062.68376379511
2022-06-21,78491.89297604561,101704.30033779144,103270.90355965261
2022-06-22,77016.15215802193,101558.9236087799,102120.1333535352
2022-06-23,74865.46503376961,99966.8015794754,100320.09127559511
2022-06-24,76706.77108120918,101660.41628170013,101916.9665522864
2022-06-27,77685.91377949715,101538.65671539307,102444.80722484148
2022-06-28,78265.70174717903,101822.53576278687,102800.2467014605
2022-06-29,76726.4887535572,100985.76270914078,101025.21922295718
2022-06-30,75446.19358754158,100081.69036483765,99319.26451159734
2022-07-01,75668.72132897377,100069.37911653519,99546.59615943578
2022-07-04,75060.09372639656,100117.79657363892,99238.54557820104
2022-07-05,74354.6873524189,101025.62921905518,96347.01872938732
2022-07-06,74873.31414723396,101953.7403588295,97848.94929957225
