max_hold_h,tp_mode,tp_r,stop_atr,be,max_concurrent,n_trades,n_skipped,win_rate,profit_factor,sharpe,cagr,max_drawdown,final_equity,total_return
24,h4_level,,3.0,0.5,4.0,294,1517,0.32653061224489793,0.6191307560831869,-1.2329543593717924,-0.38885374523203164,-0.5118290746234648,51311.30864195553,-0.48688691358044467
24,h4_level,,3.0,0.5,5.0,361,1450,0.32132963988919666,0.5791823146650126,-1.3690539983623746,-0.49278429895276843,-0.6276099309879515,39402.7488651594,-0.605972511348406
24,h4_level,,3.0,0.5,6.0,427,1384,0.3161592505854801,0.5709049783688703,-1.4067214597360014,-0.5727138884300731,-0.709708981353045,30964.517665055817,-0.6903548233494419
24,h4_level,,3.0,0.5,8.0,545,1266,0.3100917431192661,0.5546416262977822,-1.4104464137121653,-0.6873599068536143,-0.8155905753133313,19986.176915646076,-0.8001382308435392
24,h4_level,,3.0,0.5,12.0,749,1062,0.31108144192256343,0.5396406037430979,-1.3317293833195047,-0.8192182979435045,-0.9167707622840037,9340.900348958628,-0.9065909965104137
24,h4_level,,3.0,0.5,,1811,0,0.3290999447818885,0.3537186642517599,-0.5729589919192806,-0.9889510075661647,-0.9985634202547775,169.0814662733903,-0.9983091853372661
24,h4_level,,3.0,1.0,1.0,84,1727,0.42857142857142855,0.6965355296194299,-1.0654847244447663,-0.1141580475422872,-0.16761784244247901,85304.02463147146,-0.14695975368528535
24,h4_level,,3.0,1.0,2.0,146,1665,0.4178082191780822,0.6997432181062342,-1.02052574049779,-0.19311525609980984,-0.2716502235606163,75348.44542829062,-0.24651554571709378
24,h4_level,,3.0,1.0,3.0,203,1608,0.4187192118226601,0.6994854826148854,-0.9976855512395939,-0.2637760484055591,-0.3643361479226449,66721.11461755635,-0.33278885382443657
24,h4_level,,3.0,1.0,4.0,260,1551,0.41923076923076924,0.6864947060572912,-1.0127703237840906,-0.34026267251451137,-0.46036113842135096,57341.59361405128,-0.4265840638594872
