,static_equity
2021-10-01,144825.5639486313
2021-10-04,142381.90390110016
2021-10-05,145602.4807882309
2021-10-06,148362.5164861679
2021-10-07,150963.17362880707
2021-10-08,149327.964304924
2021-10-11,147842.16789913177
2021-10-12,148111.97065258026
2021-10-13,149185.95069408417
2021-10-14,151466.31723308563
2021-10-15,151507.60514736176
2021-10-18,150985.1991262436
2021-10-19,151506.8316335678
2021-10-20,151918.40960597992
2021-10-21,151822.66122341156
2021-10-22,151858.39367580414
2021-10-25,151628.30474758148
2021-10-26,151884.64899349213
2021-10-27,151898.3800382614
2021-10-28,152627.93457317352
2021-10-29,151744.67397212982
2021-11-01,152908.73234844208
2021-11-02,152701.57279491425
2021-11-03,153714.99463939667
2021-11-04,153293.0159330368
2021-11-05,154898.9620733261
2021-11-08,154649.01100063324
2021-11-09,154893.21029567719
2021-11-10,155361.81095027924
2021-11-11,155936.01024532318
2021-11-12,155724.8104467392
2021-11-15,155724.8104467392
2021-11-16,155724.8104467392
2021-11-17,155724.8104467392
2021-11-18,155724.8104467392
2021-11-19,155724.8104467392
2021-11-22,155724.8104467392
2021-11-23,155724.8104467392
2021-11-24,155724.8104467392
2021-11-26,155724.8104467392
2021-11-29,155893.89061641693
2021-11-30,154843.75988674164
2021-12-01,153714.45878696442
2021-12-02,157093.77914905548
2021-12-03,158717.72925662994
2021-12-06,161202.0445508957
2021-12-07,162152.58931827545
2021-12-08,161395.1679983139
2021-12-09,160566.06004810333
2021-12-10,162933.3227777481
2021-12-13,163432.65986347198
2021-12-14,163200.5127325058
2021-12-15,163627.82488536835
2021-12-16,163420.6261396408
2021-12-17,162483.50712108612
2021-12-20,161738.9390516281
2021-12-21,162931.53484630585
2021-12-22,163594.2140607834
2021-12-23,163830.8356733322
2021-12-27,165146.38686656952
2021-12-28,164949.90522289276
2021-12-29,165062.0662946701
2021-12-30,164828.51185131073
2021-12-31,164962.13779735565
2022-01-03,164633.18497753143
2022-01-04,164633.18497753143
2022-01-05,164633.18497753143
2022-01-06,164369.6199979782
2022-01-07,163542.92285442352
