,p5,p25,p50,p75,p95
2020-07-09,91317.60444563715,109206.10508698654,123678.18334990228,138492.2681640135,164815.98566228323
2020-07-10,91371.05131899791,109423.91180406508,123606.8716621685,138709.27910929662,164821.29229253004
2020-07-13,91439.30022194459,109410.9049248259,123757.29843869049,138790.91517828227,164990.11522902065
2020-07-14,91672.94166086,109608.60859986588,123601.26338242163,138637.60025756893,164942.8477088649
2020-07-15,91491.67066157718,109448.18448571229,123640.4639110938,138666.82388240704,165139.57140202055
2020-07-16,91526.87972471904,109449.39993198626,123784.99260642965,138698.66199395375,165030.53488122005
2020-07-17,91859.68707617286,109691.9428019485,123865.66301922896,138830.2262315248,165068.01092778388
2020-07-20,91921.51180226622,109510.58948516723,123879.10998371989,138970.18591587277,165079.52062219588
2020-07-21,91859.68707617286,109666.64189935103,123944.8112545133,139193.13565837717,165159.17548433391
2020-07-22,91825.69681938905,109686.90855225139,123993.07141289357,139412.81562486594,165678.6250379985
2020-07-23,91825.70032627729,109819.69398638474,124289.28941446362,139658.92110462146,165583.05864807594
2020-07-24,91553.84771434306,109803.54535440929,124138.01879071048,139739.76812537,165481.5894071571
2020-07-27,91688.3885050428,109777.88798243273,124117.61354361814,139823.13718837348,165932.97584609297
2020-07-28,91693.03349425866,109783.43772666782,124168.15915516693,139911.6105891693,166386.69877178865
2020-07-29,91719.55374728989,109704.07754664702,124251.18878927748,140121.86292378206,166145.03276524626
2020-07-30,91790.62646491641,109771.0135276912,124294.49644912573,140241.4476571122,166442.25124087132
2020-07-31,91649.94406283554,109789.01004565174,124325.41735067958,140151.50887680028,166690.30851070792
2020-08-03,91509.91548928733,109876.22113797431,124466.01399585826,140123.945812136,166706.845367888
2020-08-04,91511.5577805528,109957.61194182876,124426.3847372247,140297.761529866,166561.54214862324
2020-08-05,91511.84765279917,109939.32653668086,124422.90054364369,140271.48644770638,166932.93593849527
2020-08-06,91674.16330849462,109820.7453436123,124425.39555909936,140189.040608151,167150.67473301428
2020-08-07,91844.02681982891,109791.90746428177,124560.85781076024,140264.72232093394,167005.91123390954
2020-08-10,91855.0329088164,109705.88267269795,124575.88512382985,140250.88961848454,167374.98034318798
2020-08-11,91844.71193884069,109781.40099378854,124551.49989564171,140370.1988108821,167565.5466288853
2020-08-12,91834.08061174078,109789.66192503946,124588.9608096438,140426.89729457544,167417.49930754898
2020-08-13,91862.68332328969,109921.37421385286,124958.09047486802,140441.7720754547,167554.89769747286
2020-08-14,91862.68332328969,109856.88150600456,125029.26785634515,140477.55744591512,167554.89769747286
2020-08-17,91870.50949080515,109989.10796314997,124976.68747088988,140679.66896768694,168690.96811014676
2020-08-18,91870.50949080515,110039.0142367151,125097.33872342014,140678.674638021,168386.98795103622
2020-08-19,91853.48793925445,110123.05626385775,125095.05020150366,140722.65890225253,168387.17425591135
2020-08-20,91858.11377391948,110035.6113783945,125208.66781506524,140697.0443436261,168195.8073100597
2020-08-21,91667.02389972823,110123.48895111399,125215.50251295506,140714.4940597043,168454.97375245712
2020-08-24,91568.98432653792,110216.21360922666,125302.30053555785,140655.91403694949,168690.22818915205
2020-08-25,91798.19685707008,110377.88974297022,125400.8078258388,140722.1356896205,168739.65718939982
2020-08-26,91802.35067273308,110368.90632359873,125324.73454718429,140998.10742794932,168745.21769553886
2020-08-27,91714.53907816947,110358.95786774938,125374.81390024802,141198.53798359702,168607.44336384613
2020-08-28,91513.5513370264,110385.20227599684,125533.71905974185,141161.99645163433,169358.65394561584
2020-08-31,91821.28241298352,110455.65762238827,125545.08706010345,141089.39128027402,169232.0670407999
2020-09-01,91841.49998468101,110529.26546939388,125777.10109425496,141013.60873653597,168847.74131495712
2020-09-02,91852.08350059958,110423.9845658406,125732.53293207157,141423.32060068432,168942.91272153132
2020-09-03,91862.3705310513,110406.97710616677,125746.66224450065,141657.75570151804,169427.4224207378
2020-09-04,91862.3705310513,110320.14332512852,125793.5411546393,141697.5639291844,169570.08290408566
2020-09-08,91862.3705310513,110518.1854984639,125668.40309051941,142066.1327999789,170043.3623170549
2020-09-09,91780.16142899117,110558.5086810296,125758.21119426773,141958.995622827,169350.35479233772
2020-09-10,91862.3705310513,110648.47286203601,125880.85625723115,142020.5325019187,170328.50996332988
2020-09-11,91851.42331447876,110761.50940497743,125823.86762435496,142067.8646889911,170333.71814235812
2020-09-14,91844.68183259439,110658.60933339028,125960.48739757104,142143.60386002058,170333.71814235812
2020-09-15,91929.89189615515,110726.71577051954,125964.14862902107,142200.86348185435,170517.9812749613
2020-09-16,91897.81652958474,110691.79549397268,126000.30928666994,142021.70477189432,170358.74170658013
2020-09-17,92066.72285535949,110725.52001647401,125973.56104552714,142169.50365627388,170519.2995226463
2020-09-18,91963.45495745899,110711.65118502072,126077.99196860762,142075.03145114248,170697.2785672747
2020-09-21,91869.84855621745,110773.74260879836,126099.34805376163,142200.86348185435,170336.10955942475
2020-09-22,92077.18492370489,110794.40470704081,126169.9216469422,142388.94711720553,170452.77216237297
2020-09-23,91897.19273404485,110794.40470704081,126181.92823027563,142718.90094377735,170452.77216237297
2020-09-24,91998.33112921545,110794.40470704081,126095.85126410381,142472.49794443557,170799.22107720815
2020-09-25,92100.9099953624,110702.39740197902,126168.51920403626,142426.16569737965,170942.31691521063
2020-09-28,92146.00847285383,110820.5192303852,126211.22150073595,142481.67668088683,171181.22631452917
2020-09-29,92364.61932736293,110772.06224597024,126364.7531675661,142646.8358973823,170936.49331059257
2020-09-30,92409.87387023862,110709.51306775113,126374.85174773428,142854.95417289622,170811.60058918514
2020-10-01,92339.53418337408,110743.66782643701,126262.28773769984,142894.56094901785,171241.40911653687
2020-10-02,92137.00004534541,110633.8692331349,126364.7531675661,142823.34403724945,171061.2754798137
2020-10-05,92290.99411099138,110632.4649594245,126334.45690325653,142927.67578733643,171012.49052703555
2020-10-06,92297.41472582465,110713.7789170586,126398.21944693933,142937.78432947153,171109.31061506935
2020-10-07,92392.18569254708,110671.80406952027,126364.7531675661,142900.87778222957,171473.11942026907
2020-10-08,92376.02829401371,110772.06224597024,126433.86297383558,142894.56094901785,170864.01600467553
2020-10-09,92358.2636801171,110929.58901012257,126591.28622321963,142909.77344789082,171332.0914656657
2020-10-12,92399.19418018709,110896.63835198045,126728.08366315493,142988.35833405866,171572.88682105564
2020-10-13,92452.2063160702,111004.94354540552,126733.02494401575,143131.33286465777,171577.33090062853
