,BBfull,BBOU,Nasdaq-100
2020-10-19,51986.41721916199,90806.41888523102,178678.27342082895
2020-10-20,51666.37693977356,90748.66624546051,179346.18871044085
2020-10-21,52349.03286361694,90428.88980770111,179154.68086625315
2020-10-22,52840.03187561035,91108.40410900116,179116.90122340652
2020-10-23,52938.63041496277,91162.30581188202,179572.41663132168
2020-10-26,54062.6582736969,91801.41093349457,176684.36615687894
2020-10-27,53207.22361660004,91615.62741947174,178134.61551152045
2020-10-28,52044.94641685486,90502.89967250824,171128.52397530028
2020-10-29,52108.20913505554,91385.61128139496,174322.65104808137
2020-10-30,50503.99877166748,91085.10450267792,169749.2445571218
2020-11-02,50345.57698440552,93709.91662120819,170237.77028417372
2020-11-03,51832.228262901306,96428.59361171722,173234.8552975188
2020-11-04,54494.25899028778,98130.36298274994,180869.37272294788
2020-11-05,55155.39092731476,98417.4880285263,185492.85711286138
2020-11-06,54059.799421310425,96288.64738750458,185696.7981940161
2020-11-09,53933.9080991745,95909.01488018036,181689.02149675178
2020-11-10,55799.3969039917,97413.20749950409,178523.7803279495
2020-11-11,54998.69174194336,95626.95490169525,182649.50030085733
2020-11-12,55691.52154827118,97372.75182437897,181639.10857440415
2020-11-13,53840.49943828583,95771.84597682953,183339.22249824976
2020-11-16,52781.962988853455,94627.66594791412,184499.35299174578
2020-11-17,52995.76839351654,94422.6740064621,183948.16615003994
2020-11-18,53870.003724098206,94878.4964799881,182676.8414238861
2020-11-19,53139.74180984497,93922.99488735199,184070.09885998163
2020-11-20,53127.42246341705,93096.29580974579,182856.9958779845
2020-11-23,52937.072640419006,92722.84569454193,182849.3169668541
2020-11-24,51811.32470417023,90995.61071681976,185519.56832521147
2020-11-25,51678.170941352844,90513.13152217865,186631.630634776
2020-11-27,51321.65172672272,90502.4548406601,188259.40981568815
2020-11-30,50346.63343143463,89013.96854305267,188414.68279797924
2020-12-01,50010.009861946106,88473.12952709198,191286.7455394825
2020-12-02,49663.78744029999,88346.86356830597,191303.33318735403
2020-12-03,49139.74542140961,88269.96981906891,191467.96484258532
2020-12-04,48256.36852359772,88253.52993297577,192410.1762370096
2020-12-07,48246.69819355011,87860.21798610687,193454.3431741379
2020-12-08,47746.06373310089,88117.1892156601,194057.13769787445
2020-12-09,49269.13340091705,89753.64760303497,189893.93803958598
2020-12-10,48580.75717639923,89873.1198759079,190463.72224418577
2020-12-11,48945.31595134735,91071.25288677216,190059.34958422897
2020-12-14,48426.75860977173,90870.95642375946,191392.40555689204
2020-12-15,48311.708724975586,90924.0010023117,193445.89937146913
2020-12-16,47820.79089927673,90836.14267253876,194555.35205107916
2020-12-17,47405.2688331604,90129.36853313446,195843.86434003658
2020-12-18,47081.42855834961,90286.68010616302,195630.69956680143
2020-12-21,47001.66423225403,90379.23211574554,194894.7539238936
2020-12-22,46697.61960601807,90205.69135570526,195314.01947203887
2020-12-23,47021.1428527832,89893.31620121002,194324.66976182777
2020-12-24,46944.79123878479,89737.12543392181,195213.42873580527
2020-12-28,47012.71674156189,89675.2076215744,197176.93531057297
2020-12-29,47303.97321891785,89741.49959468842,197248.0402278957
2020-12-30,46969.865858078,89260.41715526581,197276.76115526818
2020-12-31,46816.9216632843,88811.41277980804,197935.917686872
